Conto,Descrizione,Dare,Avere,Saldo
,Retribuzioni,"69.379,78",,"69.379,78"
,Trasferte,"4.407,12",,"4.407,12"
,Rimborso spese Km extracomune,"12.446,40",,"12.446,40"
,Retrib. Stage,"3.700,00",,"3.700,00"
,Contributi ASPI Inps,"49,85",,"49,85"
,Contributi Inps,"22.382,86","1.029,32","21.353,54"
,Recupero contributi Inps,,"373,00","-373,00"
,Accanton. 13ma,"5.653,31",,"5.653,31"
,Accanton. 14ma,"5.653,38",,"5.653,38"
,Accanton. Ferie,"5.661,95",,"5.661,95"
,Accanton. R.O.L.,"3.234,94",,"3.234,94"
,Accanton. TFR mese,"5.241,01",,"5.241,01"
,Accanton. TFR retrib.differite,"837,59",,"837,59"
,"Rec.0,50% Fondo TFR","373,00","373,00",
,Oneri previd. Accant. 13ma,"1.670,20",,"1.670,20"
,Oneri previd. Accant. 14ma,"1.670,25",,"1.670,25"
,Oneri previd. Accant. Ferie,"1.672,64","1.393,70","278,94"
,Oneri previd. Accant. R.O.L.,"955,79","617,04","338,75"
,Premio Inail mese,"834,83",,"834,83"
,Premio Inail retrib.differite,"215,44",,"215,44"
***,Totale Conti Economici,"146.040,34","3.786,06","142.254,28"
,Competenze nette dipendenti,,"77.487,12","77.487,12"
,Ritenute Inps c/dipendente,,"7.052,27","7.052,27"
,Contributo ASPI INPS,,"49,85","49,85"
,Debito Inps,"373,00","22.382,86","22.009,86"
,Arrotondamento Attuale,"22,25",,"-22,25"
,Arrotondamento Precedente,,"22,46","22,46"
,Irpef 1704 Cuneo Fiscale LdB 2,"268,29",,"-268,29"
,Irpef 1066/1701,"144,67",,"-144,67"
,Irpef codice 1001,,"9.798,65","9.798,65"
,Irpef codice 1012,,"12,13","12,13"
,Add.Irpef cod.3802 + Interessi,,"152,35","152,35"
,Add.Irpef cod.3848 + Interessi,,"70,45","70,45"
,Fondo 13ma,"1.779,26","5.653,31","3.874,05"
,Fondo 14ma,"1.644,20","5.653,38","4.009,18"
,Fondo Ferie,"167,06","5.661,95","5.494,89"
,Fondo R.O.L.,"75,19","3.234,94","3.159,75"
,"Fpld TFR 0,50%","373,00","373,00",
,Fondo TFR,"561,21","5.241,01","4.679,80"
,Fondo TFR retrib.differite,,"837,59","837,59"
,Oneri previd. Fondo 13ma,"534,58","1.670,20","1.135,62"
,Oneri previd. Fondo 14ma,"494,74","1.670,25","1.175,51"
,Oneri previd. Fondo Ferie,"1.393,70","1.672,64","278,94"
,Oneri previd. Fondo R.O.L.,"617,04","955,79","338,75"
,Premio Inail,,"834,83","834,83"
,Premio Inail retrib.differite,,"215,44","215,44"
***,Totale Conti Patrimoniali,"8.448,19","150.702,47","142.254,28"


"Conto Descrizione Dare Avere Saldo Retribuzioni 69.379,78 69.379,78 Trasferte 4.407,12 4.407,12 Rimborso spese Km extracomune 12.446,40 12.446,40 Retrib. Stage 3.700,00 3.700,00 Contributi ASPI Inps 49,85 49,85 Contributi Inps 22.382,86 1.029,32 21.353,54 Recupero contributi Inps 373,00 -373,00 Accanton. 13ma 5.653,31 5.653,31 Accanton. 14ma 5.653,38 5.653,38 Accanton. Ferie 5.661,95 5.661,95 Accanton. R.O.L. 3.234,94 3.234,94 Accanton. TFR mese 5.241,01 5.241,01 Accanton. TFR retrib.differite 837,59 837,59 Rec.0,50% Fondo TFR 373,00 373,00 Oneri previd. Accant. 13ma 1.670,20 1.670,20 Oneri previd. Accant. 14ma 1.670,25 1.670,25 Oneri previd. Accant. Ferie 1.672,64 1.393,70 278,94 Oneri previd. Accant. R.O.L. 955,79 617,04 338,75 Premio Inail mese 834,83 834,83 Premio Inail retrib.differite 215,44 215,44 *** Totale Conti Economici 146.040,34 3.786,06 142.254,28 Competenze nette dipendenti 77.487,12 77.487,12 Ritenute Inps c/dipendente 7.052,27 7.052,27 Contributo ASPI INPS 49,85 49,85 Debito Inps 373,00 22.382,86 22.009,86 Arrotondamento Attuale 22,25 -22,25 Arrotondamento Precedente 22,46 22,46 Irpef 1704 Cuneo Fiscale LdB 2 268,29 -268,29 Irpef 1066/1701 144,67 -144,67 Irpef codice 1001 9.798,65 9.798,65 Irpef codice 1012 12,13 12,13 Add.Irpef cod.3802 + Interessi 152,35 152,35 Add.Irpef cod.3848 + Interessi 70,45 70,45 Fondo 13ma 1.779,26 5.653,31 3.874,05 Fondo 14ma 1.644,20 5.653,38 4.009,18 Fondo Ferie 167,06 5.661,95 5.494,89 Fondo R.O.L. 75,19 3.234,94 3.159,75 Fpld TFR 0,50% 373,00 373,00 Fondo TFR 561,21 5.241,01 4.679,80 Fondo TFR retrib.differite 837,59 837,59 Oneri previd. Fondo 13ma 534,58 1.670,20 1.135,62 Oneri previd. Fondo 14ma 494,74 1.670,25 1.175,51 Oneri previd. Fondo Ferie 1.393,70 1.672,64 278,94 Oneri previd. Fondo R.O.L. 617,04 955,79 338,75 Premio Inail 834,83 834,83 Premio Inail retrib.differite 215,44 215,44 *** Totale Conti Patrimoniali 8.448,19 150.702,47 142.254,28"
