Conto,Descrizione,Dare,Avere,Saldo,
,Retribuzioni,"13.151,17",,"13.151,17",
,Rimborso spese Km extracomune,"838,20",,"838,20",
,Contributi ASPI Inps,"14,45",,"14,45",
,Contributi Inps,"4.796,76",,"4.796,76",
,Recupero contributi Inps,,"79,98","-79,98",
,Accanton. 13ma,"2.529,47",,"2.529,47",
,Accanton. 14ma,"2.529,47",,"2.529,47",
,Accanton. Ferie,"2.533,33",,"2.533,33",
,Accanton. R.O.L.,"72,54",,"72,54",
,Accanton. TFR mese,"974,16",,"974,16",
,Accanton. TFR retrib.differite,"374,75",,"374,75",
,"Rec.0,50% Fondo TFR","79,98","79,98",,
,Oneri previd. Accant. 13ma,"748,45",,"748,45",
,Oneri previd. Accant. 14ma,"748,45",,"748,45",
,Oneri previd. Accant. Ferie,"749,56",,"749,56",
,Oneri previd. Accant. R.O.L.,"21,41",,"21,41",
,Premio Inail mese,"170,53",,"170,53",
,Premio Inail retrib.differite,"81,69",,"81,69",
***,Totale Conti Economici,"30.414,37","159,96","30.254,41",
,Competenze nette dipendenti,,"11.165,00","11.165,00",
,Ritenute Inps c/dipendente,,"1.511,47","1.511,47",
,Contributo ASPI INPS,,"14,45","14,45",
,Debito Inps,"79,98","4.796,76","4.716,78",
,Arrotondamento Attuale,"9,37",,"-9,37",
,Irpef codice 1001,,"1.322,27","1.322,27",
,Fondo 13ma,,"2.529,47","2.529,47",
,Fondo 14ma,,"2.529,47","2.529,47",
,Fondo Ferie,,"2.533,33","2.533,33",
,Fondo R.O.L.,,"72,54","72,54",
,"Fpld TFR 0,50%","79,98","79,98",,
,Fondo TFR,,"974,16","974,16",
,Fondo TFR retrib.differite,,"374,75","374,75",
,Oneri previd. Fondo 13ma,,"748,45","748,45",
,Oneri previd. Fondo 14ma,,"748,45","748,45",
,Oneri previd. Fondo Ferie,,"749,56","749,56",
,Oneri previd. Fondo R.O.L.,,"21,41","21,41",
,Premio Inail,,"170,53","170,53",
,Premio Inail retrib.differite,,"81,69","81,69",
***,Totale Conti Patrimoniali,"169,33","30.423,74","30.254,41",


"------------------------------------------------------------------------------------------------------------------------------------ Conto Descrizione Dare Avere Saldo Retribuzioni 13.151,17 13.151,17 Rimborso spese Km extracomune 838,20 838,20 Contributi ASPI Inps 14,45 14,45 Contributi Inps 4.796,76 4.796,76 Recupero contributi Inps 79,98 -79,98 Accanton. 13ma 2.529,47 2.529,47 Accanton. 14ma 2.529,47 2.529,47 Accanton. Ferie 2.533,33 2.533,33 Accanton. R.O.L. 72,54 72,54 Accanton. TFR mese 974,16 974,16 Accanton. TFR retrib.differite 374,75 374,75 Rec.0,50% Fondo TFR 79,98 79,98 Oneri previd. Accant. 13ma 748,45 748,45 Oneri previd. Accant. 14ma 748,45 748,45 Oneri previd. Accant. Ferie 749,56 749,56 Oneri previd. Accant. R.O.L. 21,41 21,41 Premio Inail mese 170,53 170,53 Premio Inail retrib.differite 81,69 81,69 *** Totale Conti Economici 30.414,37 159,96 30.254,41 Competenze nette dipendenti 11.165,00 11.165,00 Ritenute Inps c/dipendente 1.511,47 1.511,47 Contributo ASPI INPS 14,45 14,45 Debito Inps 79,98 4.796,76 4.716,78 Arrotondamento Attuale 9,37 -9,37 Irpef codice 1001 1.322,27 1.322,27 Fondo 13ma 2.529,47 2.529,47 Fondo 14ma 2.529,47 2.529,47 Fondo Ferie 2.533,33 2.533,33 Fondo R.O.L. 72,54 72,54 Fpld TFR 0,50% 79,98 79,98 Fondo TFR 974,16 974,16 Fondo TFR retrib.differite 374,75 374,75 Oneri previd. Fondo 13ma 748,45 748,45 Oneri previd. Fondo 14ma 748,45 748,45 Oneri previd. Fondo Ferie 749,56 749,56 Oneri previd. Fondo R.O.L. 21,41 21,41 Premio Inail 170,53 170,53 Premio Inail retrib.differite 81,69 81,69 *** Totale Conti Patrimoniali 169,33 30.423,74 30.254,41"
