Anno,Mese,Asset,Ricavi,Costi_Personale,Costi_Produzione,Costi_Gestione,Costi_Commerciale,Costi_Totali,Margine_Euro,Margine_Percentuale,Personale_su_Ricavi_Pct
2024,AGOSTO,CVM,49969.88,6725.906762589928,4825.503612563666,10316.63712230216,223.7205525512052,22091.76805000696,27878.11194999304,55.78983169459891,13.459921782061372
2024,AGOSTO,HOTEL,541322.05,63896.11424460432,52274.520327752834,98008.05266187052,2423.557313608741,216602.2445478364,324719.8054521637,59.98643606927958,11.803715412036942
2024,AGOSTO,RESIDENCE_ANGELINA,312027.79,46240.60899280575,30131.976059683493,70926.88021582733,1396.9821338400538,148696.44740215663,163331.34259784335,52.3451268868851,14.819388040022252
2024,APRILE,CVM,17170.78,1468.8725179856117,3303.2163179259696,6852.580719424461,99.0233091894633,11723.692864525505,5447.087135474494,31.72300347144681,8.554489184449466
2024,APRILE,HOTEL,118300.05,13954.28892086331,22757.886104851274,65099.51683453238,682.232398777398,102493.92425902437,15806.125740975636,13.36104738837865,11.795674575677111
2024,APRILE,RESIDENCE_ANGELINA,46442.84,10098.498561151078,8934.407577222755,47111.492446043165,267.8342920331385,66412.23287645013,-19969.392876450132,-42.99778582974283,21.743929874122855
2024,FEBBRAIO,CVM,0,70.22446043165469,0,417.3663309352518,0,487.5907913669065,-487.5907913669065,0,0
2024,FEBBRAIO,HOTEL,0,667.1323741007195,0,3964.980143884892,0,4632.112517985612,-4632.112517985612,0,0
2024,FEBBRAIO,RESIDENCE_ANGELINA,0,482.7931654676259,0,2869.3935251798557,0,3352.1866906474816,-3352.1866906474816,0,0
2024,GENNAIO,CVM,0,0,0,0,0,0,0,0,0
2024,GENNAIO,HOTEL,0,0,0,0,0,0,0,0,0
2024,GENNAIO,RESIDENCE_ANGELINA,0,0,0,0,0,0,0,0,0
2024,GIUGNO,CVM,26592.35,3505.7853237410072,6249.658856668384,10957.338705035972,567.2786158299593,21280.06150127532,5312.28849872468,19.97675458816043,13.183435550979915
2024,GIUGNO,HOTEL,410318.44,33304.96057553957,96431.87881478526,104094.71769784174,8753.076606343862,242584.63369451044,167733.80630548956,40.87893449426488,8.11685689181787
2024,GIUGNO,RESIDENCE_ANGELINA,144213.26,24102.274100719424,33892.59232854638,75331.70359712231,3076.414777826181,136402.98480421427,7810.27519578574,5.415781597188594,16.712938949386082
2024,LUGLIO,CVM,35556.62,4630.952517985612,7389.2837764675005,9465.94474820144,97.56241552666592,21583.74345818122,13972.876541818783,39.29753880379739,13.024164045923408
2024,LUGLIO,HOTEL,493529.26,43994.048920863315,102563.96007635177,89926.47510791368,1354.175586393981,237838.6596915227,255690.6003084773,51.80860002271746,8.914172367584309
2024,LUGLIO,RESIDENCE_ANGELINA,238697.24,31837.79856115108,49605.43614718073,65078.370143884895,654.9519980793534,147176.55685029604,91520.68314970395,38.341743352249885,13.338151107717493
2024,MAGGIO,CVM,23359.22,6431.818129496403,4074.020336859822,3678.2808633093528,108.13050126758766,14292.249830933164,9066.970169066835,38.81538068936735,27.53438740461541
2024,MAGGIO,HOTEL,326503.53,61102.27223021583,56944.62491797761,34943.66820143885,1511.3942316796902,154501.959581312,172001.57041868803,52.679850174571776,18.714123008169565
